design_id,cd,body
F_S_WWC_WM_407,0.2009275004451827,F
F_S_WWC_WM_693,0.2113469803654485,F
F_S_WWC_WM_199,0.2145978200564784,F
F_S_WWS_WM_581,0.2173037474518272,F
F_S_WWS_WM_497,0.2191171413621262,F
F_S_WWC_WM_468,0.2210024394850498,F
F_S_WWC_WM_393,0.2226148216644518,F
F_S_WWS_WM_039,0.2242840170963455,F
F_S_WWS_WM_496,0.2254033945880398,F
F_S_WWC_WM_542,0.2263650836644518,F
F_S_WWC_WM_259,0.2276873924053156,F
F_S_WWS_WM_229,0.2286322211328903,F
F_S_WWS_WM_267,0.2298699081827242,F
F_S_WWS_WM_584,0.2304032299468438,F
F_S_WWS_WM_570,0.2315019740963455,F
F_S_WWC_WM_114,0.2324328933122924,F
F_S_WWC_WM_084,0.2332094869069767,F
F_S_WWS_WM_316,0.2343575136146179,F
F_S_WWC_WM_178,0.2353919587774086,F
F_S_WWS_WM_455,0.2365328845880399,F
F_S_WWS_WM_676,0.2374074799269102,F
F_D_WM_WW_3992,0.2385731039900045,F
F_S_WWS_WM_230,0.2390867869069767,F
F_S_WWC_WM_573,0.2400655746245847,F
F_D_WM_WW_0852,0.2409379844659181,F
F_S_WWS_WM_486,0.2417714977940199,F
F_S_WWS_WM_286,0.2426359428006644,F
F_S_WWC_WM_548,0.2433920103521595,F
F_S_WWS_WM_606,0.2441351359501661,F
F_S_WWS_WM_474,0.244850634564784,F
F_S_WWC_WM_276,0.2455248872857142,F
F_S_WWC_WM_470,0.2463402089401993,F
F_S_WWS_WM_224,0.2471874498172757,F
F_S_WWC_WM_510,0.2478438094485049,F
F_S_WWS_WM_520,0.2486682323289036,F
F_S_WWC_WM_569,0.2492760259468438,F
F_S_WWC_WM_678,0.2499716372159468,F
F_S_WWC_WM_565,0.2507010198737542,F
F_S_WWC_WM_677,0.2513678884418605,F
F_D_WM_WW_1820,0.2519905369234809,F
F_S_WWS_WM_614,0.2526431552657807,F
F_S_WWC_WM_336,0.2531760306279069,F
F_S_WWC_WM_092,0.2538488612126245,F
F_D_WM_WW_3910,0.2544063198351435,F
F_D_WM_WW_2621,0.2548411911638906,F
F_D_WM_WW_1985,0.255505660697995,F
F_S_WWC_WM_251,0.2559471424019934,F
F_D_WM_WW_2291,0.2564833636305906,F
F_S_WWC_WM_052,0.25700666120598,F
F_S_WWC_WM_414,0.257396653013289,F
F_D_WM_WW_2755,0.2577708432884006,F
F_D_WM_WW_3946,0.2581563507722901,F
F_S_WWC_WM_067,0.2586419938704319,F
F_D_WM_WW_0766,0.258988098774013,F
F_S_WWC_WM_302,0.2594215553521595,F
F_D_WM_WW_2011,0.2596810132464857,F
F_D_WM_WW_0802,0.2600414743993771,F
F_D_WM_WW_3441,0.2602689770031735,F
F_D_WM_WW_2777,0.2606188208329302,F
F_S_WWC_WM_566,0.2609324374219269,F
F_D_WM_WW_3215,0.2612827266593309,F
F_D_WM_WW_3894,0.2615409946354901,F
F_D_WM_WW_2507,0.2618119049651013,F
F_D_WM_WW_3031,0.262030601051654,F
F_S_WWC_WM_103,0.2622621331694352,F
F_D_WM_WW_0866,0.2625940503795211,F
F_S_WWC_WM_065,0.2629066174285714,F
F_D_WM_WW_0998,0.2631822872020105,F
F_D_WM_WW_2993,0.263443900969553,F
F_S_WWS_WM_187,0.2636652180830565,F
F_D_WM_WW_3267,0.2638482586158572,F
F_D_WM_WW_3519,0.2640487974120922,F
F_D_WM_WW_2590,0.2642433367271589,F
F_D_WM_WW_1844,0.2644853736547015,F
F_D_WM_WW_2950,0.2647154900254136,F
F_D_WM_WW_0096,0.2648914469895431,F
F_D_WM_WW_1691,0.2651407758496957,F
F_D_WM_WW_2122,0.2653528199544714,F
F_D_WM_WW_1686,0.2655049416851794,F
F_D_WM_WW_1487,0.2656780801297344,F
F_D_WM_WW_2992,0.2658614487831302,F
F_D_WM_WW_3083,0.2660476833181447,F
F_D_WM_WW_1854,0.2662660323120294,F
F_D_WM_WW_2730,0.2664736199401251,F
F_D_WM_WW_3112,0.2667030681183173,F
F_D_WM_WW_2322,0.2668331327904824,F
F_D_WM_WW_0871,0.2670085932699204,F
F_D_WM_WW_2750,0.2671789400444535,F
F_D_WM_WW_0743,0.2673801789515798,F
F_D_WM_WW_2044,0.2675227460165429,F
F_D_WM_WW_0080,0.26772854687326,F
F_D_WM_WW_3007,0.2678737425320541,F
F_D_WM_WW_1352,0.268062871104536,F
F_D_WM_WW_3811,0.2682291071581502,F
F_D_WM_WW_3720,0.2684375196096732,F
F_D_WM_WW_1385,0.2685983174406435,F
F_D_WM_WW_3513,0.2687361414350456,F
F_D_WM_WW_3510,0.268916673494191,F
F_D_WM_WW_1231,0.2691071410563937,F
F_D_WM_WW_1119,0.2692479074550448,F
F_D_WM_WW_0332,0.2694436196359373,F
F_S_WWS_WM_550,0.2695692136478406,F
F_S_WWS_WM_324,0.2697019448936877,F
F_D_WM_WW_0197,0.2698198251327929,F
F_D_WM_WW_2272,0.2699727161042434,F
F_D_WM_WW_2088,0.2700995674662826,F
F_D_WM_WW_0048,0.270372627917641,F
F_D_WM_WW_0528,0.2704924086539474,F
F_D_WM_WW_3512,0.2706387392101768,F
F_D_WM_WW_1857,0.2707871760085981,F
F_D_WM_WW_3887,0.2709867796076561,F
F_D_WM_WW_3753,0.2712181326565763,F
F_D_WM_WW_0167,0.2714083264489869,F
F_D_WM_WW_0190,0.2715743321089826,F
F_S_WWS_WM_102,0.271725036627907,F
F_D_WM_WW_3502,0.2718586610612577,F
F_D_WM_WW_0445,0.2720292536943786,F
F_D_WM_WW_3483,0.2721541370579068,F
F_D_WM_WW_0271,0.2723088285393135,F
F_D_WM_WW_1554,0.272436791866576,F
F_D_WM_WW_1811,0.2726074477516325,F
F_D_WM_WW_0604,0.2728113150384373,F
F_D_WM_WW_1479,0.2729803759365133,F
F_D_WM_WW_1765,0.2731204128982186,F
F_D_WM_WW_2047,0.2732551225983199,F
F_D_WM_WW_1583,0.2734380715384032,F
F_D_WM_WW_2903,0.2736261458465597,F
F_D_WM_WW_3281,0.2738093456541475,F
F_D_WM_WW_3242,0.2739782524844194,F
F_D_WM_WW_1418,0.2741286453923638,F
F_D_WM_WW_1759,0.2742524538857219,F
F_D_WM_WW_1143,0.274413420853956,F
F_D_WM_WW_0284,0.2745674524380218,F
F_D_WM_WW_3179,0.2747607827266599,F
F_D_WM_WW_2330,0.2749636925264155,F
F_D_WM_WW_1766,0.2751846893416962,F
F_D_WM_WW_1033,0.2753573650261995,F
F_D_WM_WW_3814,0.275481186870055,F
F_D_WM_WW_2547,0.2756616091218576,F
F_D_WM_WW_3484,0.275854369020402,F
F_D_WM_WW_0842,0.2760140821246636,F
F_D_WM_WW_0570,0.27616297677118,F
F_D_WM_WW_3323,0.2763516278865334,F
F_D_WM_WW_3058,0.2764899909132959,F
F_D_WM_WW_1397,0.2767346349562075,F
F_D_WM_WW_1681,0.276945633552119,F
F_D_WM_WW_2643,0.2770984947243247,F
F_D_WM_WW_0051,0.2773287816738437,F
F_D_WM_WW_3258,0.2774944479445674,F
F_D_WM_WW_2532,0.2776743758990553,F
F_D_WM_WW_0863,0.277840585315096,F
F_D_WM_WW_1658,0.2779960674249895,F
F_D_WM_WW_2325,0.278197332444851,F
F_D_WM_WW_1347,0.2783932205127143,F
F_D_WM_WW_0442,0.2785464212723379,F
F_D_WM_WW_2085,0.2786751255656481,F
F_D_WM_WW_2068,0.2788708985366344,F
F_D_WM_WW_1667,0.279104372228552,F
F_D_WM_WW_0228,0.2793781549576097,F
F_D_WM_WW_0349,0.2795598022222308,F
F_D_WM_WW_2703,0.279812619643388,F
F_D_WM_WW_3169,0.280013159108479,F
F_D_WM_WW_3082,0.2802366083714724,F
F_D_WM_WW_2026,0.2805667461487803,F
F_D_WM_WW_0910,0.2809336278712239,F
F_D_WM_WW_0128,0.2811542671984017,F
F_D_WM_WW_2075,0.2813721734604752,F
F_D_WM_WW_3902,0.2816344946623892,F
F_D_WM_WW_3140,0.2818958312157536,F
F_D_WM_WW_3582,0.282020222318773,F
F_D_WM_WW_2810,0.2822691695670956,F
F_D_WM_WW_0811,0.2824656645191589,F
F_D_WM_WW_0894,0.2826546474179489,F
